Species,Size,Agg,Position,Diet,Kmax,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2013,X2015,X2018,X2014,affinity
Parapercis_stricticeps,S2,Solitary,Benthic,I,0.388377681,0,0,0,0,1,0,0,0,0,0,0,4,3,0,temperate
Parma_unifasciata,S2,Solitary,Benthic,HM,0.378393114,16,13,32,16,15,24,31,22,26,22,26,34,34,27,temperate
Parupeneus_multifasciatus,S3,Group,Benthic,I,0.140884571,0,0,0,0,0,0,0,0,0,0,0,0,1,0,tropical
Parupeneus_spilurus,S4,Solitary,Benthic,I,0.144643165,2,2,4,1,4,1,2,4,10,9,10,7,17,15,temperate
Pempheris_affinis,S2,Group,BenthoP,PK,0.598092109,0,0,0,1,1,2,0,5,0,1,4,0,0,4,temperate
Pempheris_compressa,S3,Group,BenthoP,PK,0.334996507,0,0,0,0,0,0,0,0,0,0,0,0,0,1,temperate
Pictilabrus_laticlavius,S3,Solitary,BenthoP,I,0.255015507,1,3,3,0,0,0,0,0,0,0,0,0,0,0,temperate
Platax_teira,S5,Group,Benthic,HM,0.082791969,0,0,0,0,0,0,0,0,1,0,0,0,0,0,tropical
Plectorhinchus_flavomaculatus,S4,Solitary,BenthoP,P,0.11833591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tropical
Prionurus_maculatus,S4,Group,BenthoP,HD,0.160047531,0,0,0,0,0,0,0,0,1,0,0,0,0,0,temperate
Prionurus_microlepidotus,S5,Group,BenthoP,HD,0.127124153,2,2,4,21,2,11,110,7,33,164,7,51,53,12,temperate
Pseudocaranx_dentex,S6,Group,BenthoP,P,0.059328914,4,37,2,6,12,47,18,35,17,4,22,6,34,7,temperate
Pseudolabrus_guentheri,S2,Solitary,BenthoP,I,0.472974002,7,2,3,2,2,0,3,0,3,1,9,11,13,8,temperate
Pseudolabrus_luculentus,S2,Solitary,BenthoP,I,0.599164665,0,1,0,0,0,0,0,0,0,0,0,0,0,0,temperate
Pterocaesio_digramma,S3,Group,Pelagic,PK,0.268453971,0,0,0,0,0,1,0,0,0,0,0,3,0,0,tropical
Rhabdosargus_sarba,S5,Group,Benthic,I,0.114850376,6,9,7,4,3,26,15,13,18,8,8,27,22,7,temperate
Sarda_australis,S6,Group,Pelagic,P,0.039853549,0,0,3,0,0,0,0,0,0,0,0,0,0,1,temperate
Schuettea_scalaripinnis,S3,Group,BenthoP,PK,0.334996507,0,1,0,0,0,0,0,0,0,0,0,0,0,0,temperate
Scorpaena_cardinalis,S2,Solitary,Benthic,P,0.261735842,19,9,16,15,33,18,46,37,44,46,32,29,25,13,temperate
Scorpis_lineolata,S3,Group,Pelagic,PK,0.268453971,74,105,129,270,118,138,191,127,243,303,117,249,278,206,temperate
Seriola_dumerili,S6,Group,Pelagic,P,0.064584929,0,0,0,0,0,0,1,0,0,0,0,3,0,0,temperate
Seriola_hippos,S6,Group,Pelagic,P,0.072324213,3,0,0,0,0,0,0,0,0,0,2,0,0,9,temperate
Seriola_lalandi,S6,Group,Pelagic,P,0.066475306,20,0,3,0,0,0,0,0,1,0,0,0,0,0,temperate
Seriola_rivoliana,S6,Group,Pelagic,P,0.041625161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tropical
Siganus_fuscescens,S4,Group,BenthoP,HM,0.186412878,0,2,0,1,2,1,0,0,13,0,2,10,8,2,tropical
Stethojulis_interrupta,S2,Group,Benthic,I,0.586683869,0,0,0,0,2,0,0,0,0,0,0,0,1,0,tropical
Sufflamen_chrysopterum,S3,Solitary,BenthoP,I,0.227071241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tropical
Synodus_jaculum,S3,Solitary,Benthic,I,0.318833113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tropical
Thalassoma_lunare,S4,Solitary,BenthoP,I,0.114803832,0,2,1,2,2,4,4,2,2,6,4,12,10,2,tropical
Thalassoma_lutescens,S3,Group,BenthoP,I,0.227071241,5,1,5,0,3,7,6,2,1,2,4,5,4,1,tropical
Trachinops_taeniatus,S1,Group,BenthoP,PK,0.654310673,1,0,63,15,100,15,35,9,143,67,70,2,69,0,temperate
Trachurus_novaezelandiae,S3,Group,BenthoP,PK,0.333705053,126,15,30,192,170,72,352,6,13,218,3,208,72,369,temperate
Trygonorrhina_fasciata,S6,Solitary,Benthic,I,0.063176014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,temperate
Upeneichthys_lineatus,S4,Group,BenthoP,I,0.130337499,0,0,0,0,0,0,0,1,2,0,1,0,0,0,temperate
